Kod; Nazwa; wywÛz_úmieci; energia_elektryczna
200000;DOLNOåL•SKIE;29,50;0.74
400000;KUJAWSKO-POMORSKIE;23,60;0.77
600000;LUBELSKIE;20.82;0.78
800000;LUBUSKIE;29.71;0.74
1000000;£”DZKIE;27.94;0.78
1200000;MA£ÅOPOLSKIE;24.72;0.74
1400000;MAZOWIECKIE;25.22;0.79
1600000;OPOLSKIE;26.61;0.74
1800000;PODKARPACKIE;26.16;0.77
2000000;PODLASKIE;23.37;0.78
2200000;POMORSKIE;25.51;0.81
2400000;åL•SKIE;27.32;0.76
2600000;åWI TOKRZYSKIE;22.77;0.78
2800000;WARMI—ÉSKO-MAZURSKIE;23.82;0.81
3000000;WIELKOPOLSKIE;27.78;0.77
3200000;ZACHODNIOPOMORSKIE;26.75;0.77
